Song Title;Artist;bpm;Push myself score;Have fun score;Stress relief score;Relax / focus score;Get motivated score;Spotify URI
Feel So Close;Calvin Harris;128;0.583333333;0;0.333333333;0;0;spotify:track:1gihuPhrLraKYrJMAEONyc
Turn Up the Music;Chris Brown;130;0;0.209090909;0.018181818;0;0;spotify:track:1RMRkCn07y2xtBip9DzwmC
Club Can't Handle Me;Flo Rida David Guetta;128;0.041666667;0.354166667;0;0;0;spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y
Rain in Ibiza;Felix Jaehn The Stickmen Project Calum Scott;124;0;0.416666667;0.083333333;0;0;spotify:track:5u8Y0lAUlBLwuhpXSDUGf4
Believer;Imagine Dragons;125;0.882352941;0;0.176470588;0;0;spotify:track:0pqnGHJpmpxLKifKRmU6WP
Mama Said;Lukas Graham;84;0;0.235294118;0.235294118;0;0;spotify:track:3kQcsiZLNkC9jjtJO20ht5
2U;David Guetta Justin Biber;145;0.142857143;0;0.142857143;0.142857143;0;spotify:track:3A7qX2QjDlPnazUsRk5y0M
Not Afraid;Eminem;115;0.277777778;0.111111111;0.148148148;0.111111111;0;spotify:track:7Ie9W94M7OjPoZVV216Xus
Dance With Somebody;Mando Diao;150;0;0.285211268;0.126760563;0;0;spotify:track:39EISCnBUBzbDxBtaOCyPD
On the Floor;Jennifer Lopez Pitbull;130;0.038095238;0.095238095;0.028571429;0;0.028571429;spotify:track:3C0nOe05EIt1390bVABLyN
Blinding Lights;The Weeknd;171;0.111111111;0;0.2;0;0;spotify:track:0VjIjW4GlUZAMYd2vXMi3b
Pon de Replay;Rihanna;99;0;0.611111111;0.1;0.066666667;0;spotify:track:4TsmezEQVSZNNPv5RJ65Ov
Since U Been Gone;Kelly Clarkson;131;0;0;0.666666667;0.2;0;spotify:track:6JY1IdkZGeIcPegKxjSKeb
Pump It;Black Eyed Peas;154;0.36;0;0;0.06;0;spotify:track:2ygMBIctKIAfbEBcT9065L
Circus;Britney Spears;115;0.153846154;0.461538462;0;0;0;spotify:track:7jk7gqyEonmVVYahZN5zhW
Locked out of Heaven;Bruno Mars;144;0;0.285714286;0.071428571;0.285714286;0;spotify:track:3w3y8KPTfNeOKPiqUTakBh
I need A Doctor;Dr. Dre Eminem Skylar Grey;156;0.184210526;0;0.131578947;0.210526316;0;spotify:track:70ATm56tH7OrQ1zurYssz0
Adventure of a Lifetime;Coldplay;112;0.071428571;0.428571429;0.071428571;0.285714286;0;spotify:track:69uxyAqqPIsUyTO8txoP2M
Power;Kanye West;154;0.277777778;0.111111111;0.166666667;0.222222222;0;spotify:track:2gZUPNdnz5Y45eiGxpHGSc
Crazy;Gnarls Barkley;112;0;0.111111111;0.111111111;0.111111111;0;spotify:track:1vxw6aYJls2oq3gW0DujAo
Lady - Hear Me Tonight;Modjo;126;0;0.176470588;0.294117647;0.294117647;0;spotify:track:70HxNVlYQ0Hi6XqBtPLw80
Satisfaction;Benni Benassi;126;1;0;0;0;0;spotify:track:0lwyzp7GppQxv0Eu6wRkUo
Calabria 2007 (feet Natasja) - Radio Edit;Enur Natasja;126;0;0.017871018;0.033966034;0.019230769;0;spotify:track:49ou9vBZLTCi4TYoYzR3F9
Roses;SAINt JHN Imanbek;122;0.2;0;0;0;0;spotify:track:24Yi9hE78yPEbZ4kxyoXAI
Unstoppable;Sia;174;1;0;0.053571429;0;0.107142857;spotify:track:059ACLUOyEcdruA2m9f2jd
This Love;Maroon 5;95;0.083333333;0;0.458333333;0.083333333;0;spotify:track:6ECp64rv50XVz93WvxXMGF
Whatever It Takes;Imagine Dragons;135;0.21875;0;0.5625;0;0;spotify:track:6Qn5zhYkTa37e91HC1D7lb
